show,date,name,gender
Meet the Press,3/18/12,Paul Rieckhoff,m
Meet the Press,3/18/12,Wes Moore,m
State of the Union,3/18/12,Anita Dunn,f
State of the Union,3/18/12,Rick Santorum,m
State of the Union,3/18/12,Eklil Hakimi,m
State of the Union,3/18/12,Ed Gillespie,m
This Week,3/18/12,Nia-Malika Henderson,f
This Week,3/18/12,David Ignatius,m
This Week,3/18/12,Rick Santorum,m
This Week,3/18/12,George Will,m
This Week,3/18/12,Bill Burton,m
This Week,3/18/12,Haley Barbour,m
Face the Nation,3/25/12,Paul D. Ryan ,m
Face the Nation,3/25/12,Charles E. Schumer,m
Face the Nation,3/25/12,Rick Santorum,m
Fox News Sunday,3/25/12,Paul D. Ryan ,m
Fox News Sunday,3/25/12,David Plouffe,m
Fox News Sunday,3/25/12,Brit Hume,m
Fox News Sunday,3/25/12,Paul Gigot,m
Fox News Sunday,3/25/12,Kirsten Powers,f
Fox News Sunday,3/25/12,Juan Williams,m
Meet the Press,3/25/12,David Plouffe,m
Meet the Press,3/25/12,Doris Kearns Goodwin,f
Meet the Press,3/25/12,Rachel Maddow,f
Meet the Press,3/25/12,Michele Norris,f
Meet the Press,3/25/12,Benjamin Jealous,m
Meet the Press,3/25/12,David Brooks,m
Meet the Press,3/25/12,Haley Barbour,m
State of the Union,3/25/12,David Plouffe,m
State of the Union,3/25/12,Rick Scott,m
State of the Union,3/25/12,Lindsey Graham,m
State of the Union,3/25/12,Susan Page,f
State of the Union,3/25/12,Michael Duffy,m
This Week,3/25/12,Terry Moran,m
This Week,3/25/12,Donna Brazile,f
This Week,3/25/12,David Plouffe,m
This Week,3/25/12,Michele Bachmann,f
This Week,3/25/12,George Will,m
This Week,3/25/12,Matthew Dowd,m
This Week,3/25/12,Cokie Roberts,f
Face the Nation,4/1/12,Jan Crawford,f
Face the Nation,4/1/12,John Dickerson,m
Face the Nation,4/1/12,Joseph R. Biden Jr.,m
Face the Nation,4/1/12,Kevin Madden,m
Face the Nation,4/1/12,Gwen Ifill,f
Face the Nation,4/1/12,Newt Gingrich,m
Face the Nation,4/1/12,Ron Paul,m
Fox News Sunday,4/1/12,Chip Saltsman,m
Fox News Sunday,4/1/12,Liz Marlantes,f
Fox News Sunday,4/1/12,Bill Kristol,m
Fox News Sunday,4/1/12,Howard Dean,m
Fox News Sunday,4/1/12,Rick Santorum,m
Fox News Sunday,4/1/12,Haley Barbour,m
Fox News Sunday,4/1/12,Juan Williams,m
Meet the Press,4/1/12,Harold E. Ford Jr.,m
Meet the Press,4/1/12,Thomas Friedman,m
Meet the Press,4/1/12,Jon Meacham,m
Meet the Press,4/1/12,Charles E. Schumer,m
Meet the Press,4/1/12,Rick Santorum,m
Meet the Press,4/1/12,Mika Brzezinski,f
Meet the Press,4/1/12,David Brooks,m
State of the Union,4/1/12,C.A. Dutch Ruppersberger,m
State of the Union,4/1/12,Paul D. Ryan ,m
State of the Union,4/1/12,Mitch McConnell,m
State of the Union,4/1/12,Mike D. Rogers,m
This Week,4/1/12,Terry Moran,m
This Week,4/1/12,Paul D. Ryan ,m
This Week,4/1/12,Ann Coulter,f
This Week,4/1/12,Matt Bai,m
This Week,4/1/12,George Will,m
This Week,4/1/12,Chris Van Hollen,m
This Week,4/1/12,Van Jones,m
Face the Nation,4/8/12,Andrew Sullivan,m
Face the Nation,4/8/12,Michael Gerson,m
Face the Nation,4/8/12,Luis Cortez,m
Face the Nation,4/8/12,Timothy Dolan,m
Face the Nation,4/8/12,Julianna Goldman,f
Face the Nation,4/8/12,Norah O'Donnell,f
Face the Nation,4/8/12,David Wolpe,m
Face the Nation,4/8/12,Ruth Marcus,f
Face the Nation,4/8/12,Sally Quinn,f
Face the Nation,4/8/12,Richard Land,m
Fox News Sunday,4/8/12,David Drucker,m
Fox News Sunday,4/8/12,Kent Conrad,m
Fox News Sunday,4/8/12,Mara Liasson,f
Fox News Sunday,4/8/12,Brit Hume,m
Fox News Sunday,4/8/12,Julie Nixon Eisenhower,f
Fox News Sunday,4/8/12,Stephen Hayes,m
Fox News Sunday,4/8/12,Newt Gingrich,m
Fox News Sunday,4/8/12,Ron Johnson,m
Meet the Press,4/8/12,William Lori,m
Meet the Press,4/8/12,Richard J. Durbin,m
Meet the Press,4/8/12,Anne Graham Lotz,f
Meet the Press,4/8/12,Emanuel Cleaver II,m
Meet the Press,4/8/12,Jon Meacham,m
Meet the Press,4/8/12,Raul R. Labrador,m
Meet the Press,4/8/12,John Kasich,m
State of the Union,4/8/12,Neal Katyal,m
State of the Union,4/8/12,Linda DiVall,f
State of the Union,4/8/12,Mark Penn,m
State of the Union,4/8/12,Ken Starr,m
State of the Union,4/8/12,Emanuel Cleaver II,m
State of the Union,4/8/12,Debbie Wasserman Schultz,f
State of the Union,4/8/12,Ralph Reed,m
State of the Union,4/8/12,David Brody,m
This Week,4/8/12,David Chalian,m
This Week,4/8/12,Michael Eric Dyson,m
This Week,4/8/12,Peggy Noonan,f
This Week,4/8/12,Rick Warren,m
This Week,4/8/12,Kay Warren,f
This Week,4/8/12,Chrystia Freeland,f
This Week,4/8/12,George Will,m
Face the Nation,4/15/12,Michael Eric Dyson,m
Face the Nation,4/15/12,John Dickerson,m
Face the Nation,4/15/12,Mark Strassman,m
Face the Nation,4/15/12,John McCain,m
Face the Nation,4/15/12,Timothy Geithner,m
Face the Nation,4/15/12,Norah O'Donnell,f
Face the Nation,4/15/12,Jack Ford,m
Face the Nation,4/15/12,Ruth Marcus,f
Face the Nation,4/15/12,Maria Cardona,f
Fox News Sunday,4/15/12,Jeff Zeleny,m
Fox News Sunday,4/15/12,Brit Hume,m
Fox News Sunday,4/15/12,David Axelrod,m
Fox News Sunday,4/15/12,Mike Huckabee,m
Fox News Sunday,4/15/12,Susan Milligan,f
Fox News Sunday,4/15/12,Mike Wallace,m
Fox News Sunday,4/15/12,Ed Gillespie,m
Meet the Press,4/15/12,Harold E. Ford Jr.,m
Meet the Press,4/15/12,Savannah Guthrie,f
Meet the Press,4/15/12,Kirsten Gillibrand,f
Meet the Press,4/15/12,Timothy Geithner,m
Meet the Press,4/15/12,Chuck Todd,m
Meet the Press,4/15/12,Michele Bachmann,f
Meet the Press,4/15/12,Mike Murphy,m
State of the Union,4/15/12,Carolyn B. Maloney,f
State of the Union,4/15/12,Cathy McMorris Rodgers ,f
State of the Union,4/15/12,Reince Priebus,m
State of the Union,4/15/12,Bill Cosby,m
This Week,4/15/12,Katrina vanden Heuvel,f
This Week,4/15/12,Kevin Madden,m
This Week,4/15/12,Timothy Geithner,m
This Week,4/15/12,Paul Gigot,m
This Week,4/15/12,Cokie Roberts,f
This Week,4/15/12,Melody Barnes,f
Face the Nation,4/22/12,Tavis Smiley,m
Face the Nation,4/22/12,Tom Coburn,m
Face the Nation,4/22/12,John Dickerson,m
Face the Nation,4/22/12,Elijah E. Cummings,m
Face the Nation,4/22/12,Major Garrett,m
Face the Nation,4/22/12,Sheila Jackson-Lee,m
Face the Nation,4/22/12,Stephanie Cutter,f
Face the Nation,4/22/12,Norah O'Donnell,f
Face the Nation,4/22/12,Ralph Basham,m
Face the Nation,4/22/12,Joseph I. Lieberman,m
Face the Nation,4/22/12,Melinda Henneberger,f
Face the Nation,4/22/12,Cornel West,m
Face the Nation,4/22/12,Eric Fehrnstrom,m
Fox News Sunday,4/22/12,Mitch Daniels,m
Fox News Sunday,4/22/12,Bill Kristol,m
Fox News Sunday,4/22/12,Joe Trippi,m
Fox News Sunday,4/22/12,Karl Rove,m
Fox News Sunday,4/22/12,Joseph I. Lieberman,m
Fox News Sunday,4/22/12,Juan Williams,m
Meet the Press,4/22/12,Darrell Issa,m
Meet the Press,4/22/12,Peter T. King,m
Meet the Press,4/22/12,Chuck Todd,m
Meet the Press,4/22/12,David Axelrod,m
Meet the Press,4/22/12,Helene Cooper,f
Meet the Press,4/22/12,E.J. Dionne,m
Meet the Press,4/22/12,David Brooks,m
State of the Union,4/22/12,Elijah E. Cummings,m
State of the Union,4/22/12,David Axelrod,m
State of the Union,4/22/12,Marco Rubio,m
This Week,4/22/12,Peggy Noonan,f
This Week,4/22/12,Donna Brazile,f
This Week,4/22/12,Keith Olbermann,m
This Week,4/22/12,Sheila Jackson-Lee,m
This Week,4/22/12,Susan Collins,f
This Week,4/22/12,George Will,m
This Week,4/22/12,Matthew Dowd,m
Face the Nation,4/29/12,Jerry Brown,m
Face the Nation,4/29/12,David Ignatius,m
Face the Nation,4/29/12,John Miller,m
Face the Nation,4/29/12,Graham Allison,m
Face the Nation,4/29/12,Antonio Villaraigosa,m
Face the Nation,4/29/12,Peter Bergen,m
Face the Nation,4/29/12,Haley Barbour,m
Fox News Sunday,4/29/12,Charles Lane,m
Fox News Sunday,4/29/12,Liz Marlantes,f
Fox News Sunday,4/29/12,Brit Hume,m
Fox News Sunday,4/29/12,Kimberley Strassel,f
Fox News Sunday,4/29/12,Joel Osteen,m
Fox News Sunday,4/29/12,John Brennan,m
Fox News Sunday,4/29/12,Victoria Osteen,f
Meet the Press,4/29/12,Cathy McMorris Rodgers ,f
Meet the Press,4/29/12,Robert Gibbs,m
Meet the Press,4/29/12,Rachel Maddow,f
Meet the Press,4/29/12,Alex Castellanos,m
Meet the Press,4/29/12,Hilary Rosen,f
Meet the Press,4/29/12,Ed Gillespie,m
State of the Union,4/29/12,John A. Boehner,m
State of the Union,4/29/12,Robert F. McDonnell,m
State of the Union,4/29/12,John Brennan,m
State of the Union,4/29/12,Brian Schweitzer,m
This Week,4/29/12,Jennifer Granholm,f
This Week,4/29/12,Carly Fiorina,f
This Week,4/29/12,George Will,m
This Week,4/29/12,David Walker,m
This Week,4/29/12,John Brennan,m
This Week,4/29/12,Paul Krugman,m
This Week,4/29/12,Eric Schmidt,m
Face the Nation,5/6/12,David Corn,m
Face the Nation,5/6/12,John Dickerson,m
Face the Nation,5/6/12,Zbigniew Brzezinski,m
Face the Nation,5/6/12,Peggy Noonan,f
Face the Nation,5/6/12,Michael Gerson,m
Face the Nation,5/6/12,Howard Dean,m
Face the Nation,5/6/12,Charles E. Schumer,m
Face the Nation,5/6/12,Michele Bachmann,f
Face the Nation,5/6/12,Newt Gingrich,m
Fox News Sunday,5/6/12,Bill Kristol,m
Fox News Sunday,5/6/12,A.B. Stoddard,f
Fox News Sunday,5/6/12,Elizabeth (Liz) Cheney,f
Fox News Sunday,5/6/12,Alex Trebek,m
Fox News Sunday,5/6/12,Marco Rubio,m
Fox News Sunday,5/6/12,Juan Williams,m
Meet the Press,5/6/12,Kelly Ayotte,f
Meet the Press,5/6/12,Joseph R. Biden Jr.,m
Meet the Press,5/6/12,Chuck Todd,m
Meet the Press,5/6/12,Tom Brokaw,m
Meet the Press,5/6/12,Diane Swonk,f
State of the Union,5/6/12,Major Garrett,m
State of the Union,5/6/12,Douglas Holtz-Eakin,m
State of the Union,5/6/12,Ted Strickland,m
State of the Union,5/6/12,Dianne Feinstein,f
State of the Union,5/6/12,Alice Rivlin,f
State of the Union,5/6/12,Thomas M. Davis III,m
State of the Union,5/6/12,Newt Gingrich,m
State of the Union,5/6/12,Mike D. Rogers,m
This Week,5/6/12,Tavis Smiley,m
This Week,5/6/12,Greta Van Susteren,f
This Week,5/6/12,John McCain,m
This Week,5/6/12,David Axelrod,m
This Week,5/6/12,Austan Goolsbee,m
This Week,5/6/12,George Will,m
This Week,5/6/12,Bay Buchanan,f
Face the Nation,5/13/12,Ted Olson,m
Face the Nation,5/13/12,Mark McKinnon,m
Face the Nation,5/13/12,Evan Wolfson,m
Face the Nation,5/13/12,Anita Dunn,f
Face the Nation,5/13/12,Deval Patrick,m
Face the Nation,5/13/12,Norah O'Donnell,f
Face the Nation,5/13/12,Bay Buchanan,f
Face the Nation,5/13/12,Tony Perkins,m
Face the Nation,5/13/12,Melinda Henneberger,f
Face the Nation,5/13/12,Clayton Clay Aiken,m
Face the Nation,5/13/12,Mike D. Rogers,m
Fox News Sunday,5/13/12,Liz Marlantes,f
Fox News Sunday,5/13/12,Brit Hume,m
Fox News Sunday,5/13/12,John Thune,m
Fox News Sunday,5/13/12,Dianne Feinstein,f
Fox News Sunday,5/13/12,Paul Gigot,m
Fox News Sunday,5/13/12,Juan Williams,m
Meet the Press,5/13/12,Jamie Dimon,m
Meet the Press,5/13/12,Carl Levin,m
Meet the Press,5/13/12,Andrew Ross Sorkin,m
Meet the Press,5/13/12,Chris Matthews,m
Meet the Press,5/13/12,Al Cardenas,m
Meet the Press,5/13/12,Jonathan Capehart,m
Meet the Press,5/13/12,Gavin Newsom,m
Meet the Press,5/13/12,Reince Priebus,m
Meet the Press,5/13/12,Kathleen Parker,f
State of the Union,5/13/12,Richard J. Durbin,m
State of the Union,5/13/12,Peter T. King,m
State of the Union,5/13/12,Gary L. Bauer,m
State of the Union,5/13/12,Tony Perkins,m
State of the Union,5/13/12,Joseph I. Lieberman,m
State of the Union,5/13/12,John Cornyn,m
State of the Union,5/13/12,John Hickenlooper,m
This Week,5/13/12,Marsha Blackburn ,f
This Week,5/13/12,Maggie Haberman,f
This Week,5/13/12,Mary Matalin,f
This Week,5/13/12,Barney Frank,m
This Week,5/13/12,Hilary Rosen,f
This Week,5/13/12,Ralph Reed,m
This Week,5/13/12,Eliot Spitzer,m
Face the Nation,5/20/12,Mark Warner,m
Face the Nation,5/20/12,John Dickerson,m
Face the Nation,5/20/12,Thomas Friedman,m
Face the Nation,5/20/12,Mitch McConnell,m
Face the Nation,5/20/12,Norah O'Donnell,f
Face the Nation,5/20/12,Clarissa Ward,f
Face the Nation,5/20/12,Lindsey Graham,m
Fox News Sunday,5/20/12,Paul D. Ryan ,m
Fox News Sunday,5/20/12,Bill Kristol,m
Fox News Sunday,5/20/12,Austan Goolsbee,m
Fox News Sunday,5/20/12,Evan Bayh,m
Fox News Sunday,5/20/12,Joe Trippi,m
Fox News Sunday,5/20/12,Karl Rove,m
Meet the Press,5/20/12,Cory A. Booker,m
Meet the Press,5/20/12,Paul D. Ryan ,m
Meet the Press,5/20/12,Richard J. Durbin,m
Meet the Press,5/20/12,Jim Cramer,m
Meet the Press,5/20/12,Kimberley Strassel,f
Meet the Press,5/20/12,Mike Murphy,m
State of the Union,5/20/12,Dana Bash,f
State of the Union,5/20/12,Jeff Zeleny,m
State of the Union,5/20/12,Barbara Boxer,f
State of the Union,5/20/12,David Axelrod,m
State of the Union,5/20/12,Reince Priebus,m
State of the Union,5/20/12,Kay Bailey Hutchison,f
State of the Union,5/20/12,Anders Fogh Rasmussen,m
This Week,5/20/12,Donna Brazile,f
This Week,5/20/12,Nancy Pelosi,f
This Week,5/20/12,George Will,m
This Week,5/20/12,John A. Boehner,m
This Week,5/20/12,Matthew Dowd,m
This Week,5/20/12,Gavin Newsom,m
This Week,5/20/12,Laura Ingraham,f
Face the Nation,5/27/12,Nancy Gibbs,f
Face the Nation,5/27/12,Robert Gibbs,m
Face the Nation,5/27/12,Robert Merry,m
Face the Nation,5/27/12,Douglas Brinkley,m
Face the Nation,5/27/12,Richard G. Lugar,m
Face the Nation,5/27/12,Ed Gillespie,m
Face the Nation,5/27/12,Michael Duffy,m
Fox News Sunday,5/27/12,Jeff Zeleny,m
Fox News Sunday,5/27/12,John McCain,m
Fox News Sunday,5/27/12,Brit Hume,m
Fox News Sunday,5/27/12,Kimberley Strassel,f
Fox News Sunday,5/27/12,Kirsten Powers,f
Fox News Sunday,5/27/12,Donald Wuerl,m
Meet the Press,5/27/12,Carly Fiorina,f
Meet the Press,5/27/12,Martin O'Malley,m
Meet the Press,5/27/12,Michael Lewis,m
Meet the Press,5/27/12,Antonio Villaraigosa,m
Meet the Press,5/27/12,E.J. Dionne,m
Meet the Press,5/27/12,Newt Gingrich,m
Meet the Press,5/27/12,David Brooks,m
Meet the Press,5/27/12,Maria Shriver,f
State of the Union,5/27/12,Patty Murray,f
State of the Union,5/27/12,Rudolph W. Giuliani,m
State of the Union,5/27/12,Tim Tetz,m
State of the Union,5/27/12,Debbie Wasserman Schultz,f
State of the Union,5/27/12,Peter Chiarelli,m
State of the Union,5/27/12,Paul Rieckhoff,m
This Week,5/27/12,Jennifer Granholm,f
This Week,5/27/12,Liz Claman,f
This Week,5/27/12,Nia-Malika Henderson,f
This Week,5/27/12,Leon E. Panetta,m
This Week,5/27/12,George Will,m
This Week,5/27/12,Ron Brownstein,m
Face the Nation,6/3/12,Edward G. Rendell,m
Face the Nation,6/3/12,Michael Gerson,m
Face the Nation,6/3/12,Daniel Klaidman,m
Face the Nation,6/3/12,David Axelrod,m
Face the Nation,6/3/12,David Sanger,m
Face the Nation,6/3/12,Reince Priebus,m
Face the Nation,6/3/12,Bob Shrum,m
Face the Nation,6/3/12,Kay Bailey Hutchison,f
Fox News Sunday,6/3/12,Chip Saltsman,m
Fox News Sunday,6/3/12,A.B. Stoddard,f
Fox News Sunday,6/3/12,Steven Rattner,m
Fox News Sunday,6/3/12,David Brody,m
Fox News Sunday,6/3/12,Juan Williams,m
Fox News Sunday,6/3/12,Ed Gillespie,m
Meet the Press,6/3/12,Neera Tanden,f
Meet the Press,6/3/12,Kevin Madden,m
Meet the Press,6/3/12,Deval Patrick,m
Meet the Press,6/3/12,Bill Bradley,m
Meet the Press,6/3/12,Steve Schmidt,m
Meet the Press,6/3/12,Kasim Reed,m
Meet the Press,6/3/12,John Kasich,m
State of the Union,6/3/12,Mark Warner,m
State of the Union,6/3/12,Mark Zandi,m
State of the Union,6/3/12,Robert F. McDonnell,m
State of the Union,6/3/12,Richard G. Lugar,m
State of the Union,6/3/12,Tom Barrett,m
This Week,6/3/12,Donna Brazile,f
This Week,6/3/12,Stephanie Cutter,f
This Week,6/3/12,George Will,m
This Week,6/3/12,Paul Krugman,m
This Week,6/3/12,Eric Fehrnstrom,m
Face the Nation,6/10/12,Bob Woodward,m
Face the Nation,6/10/12,John Dickerson,m
Face the Nation,6/10/12,Richard Trumka,m
Face the Nation,6/10/12,Martin O'Malley,m
Face the Nation,6/10/12,Scott Walker,m
Face the Nation,6/10/12,Norah O'Donnell,f
Face the Nation,6/10/12,Dianne Feinstein,f
Face the Nation,6/10/12,Carl Bernstein,m
Face the Nation,6/10/12,Mike D. Rogers,m
Fox News Sunday,6/10/12,Mitch Daniels,m
Fox News Sunday,6/10/12,Bill Kristol,m
Fox News Sunday,6/10/12,Thea Lee,f
Fox News Sunday,6/10/12,Elizabeth (Liz) Cheney,f
Fox News Sunday,6/10/12,Mara Liasson,f
Fox News Sunday,6/10/12,Dennis Van Roeckel,m
Fox News Sunday,6/10/12,Charles Lane,m
State of the Union,6/10/12,John McCain,m
State of the Union,6/10/12,Peter T. King,m
State of the Union,6/10/12,David Axelrod,m
State of the Union,6/10/12,Lynn Woolsey,f
This Week,6/10/12,Edward G. Rendell,m
This Week,6/10/12,Ann Coulter,f
This Week,6/10/12,David Axelrod,m
This Week,6/10/12,Mike Huckabee,m
This Week,6/10/12,Van Jones,m
Face the Nation,6/17/12,John Dickerson,m
Face the Nation,6/17/12,Jan Crawford,f
Face the Nation,6/17/12,Howard Dean,m
Face the Nation,6/17/12,Mitt Romney,m
Face the Nation,6/17/12,Jonathan Capehart,m
Face the Nation,6/17/12,Lindsey Graham,m
Face the Nation,6/17/12,Rich Lowry,m
Fox News Sunday,6/17/12,Bill Kristol,m
Fox News Sunday,6/17/12,Michael Hayden,m
Fox News Sunday,6/17/12,David Plouffe,m
Fox News Sunday,6/17/12,Joe Trippi,m
Fox News Sunday,6/17/12,Karl Rove,m
Fox News Sunday,6/17/12,Joseph I. Lieberman,m
Fox News Sunday,6/17/12,Juan Williams,m
Meet the Press,6/17/12,Mark Halperin,m
Meet the Press,6/17/12,David Maraniss,m
Meet the Press,6/17/12,John McCain,m
Meet the Press,6/17/12,David Plouffe,m
Meet the Press,6/17/12,Doris Kearns Goodwin,f
Meet the Press,6/17/12,Kimberley Strassel,f
Meet the Press,6/17/12,Harold E. Ford Jr.,m
State of the Union,6/17/12,David Plouffe,m
State of the Union,6/17/12,Rick Santorum,m
State of the Union,6/17/12,John Barrasso,m
State of the Union,6/17/12,Chris Van Hollen,m
This Week,6/17/12,Katrina vanden Heuvel,f
This Week,6/17/12,David Plouffe,m
This Week,6/17/12,Austan Goolsbee,m
This Week,6/17/12,George Will,m
This Week,6/17/12,Tim Pawlenty,m
Face the Nation,6/24/12,John Dickerson,m
Face the Nation,6/24/12,Dan Balz,m
Face the Nation,6/24/12,Rick Perry,m
Face the Nation,6/24/12,Antonio Villaraigosa,m
Face the Nation,6/24/12,Stephanie Cutter,f
Face the Nation,6/24/12,Norah O'Donnell,f
Face the Nation,6/24/12,Joe Klein,m
Face the Nation,6/24/12,Tim Pawlenty,m
Face the Nation,6/24/12,Eric Fehrnstrom,m
Fox News Sunday,6/24/12,Elijah E. Cummings,m
Fox News Sunday,6/24/12,Darrell Issa,m
Fox News Sunday,6/24/12,Jeff Zeleny,m
Fox News Sunday,6/24/12,Nicolle Wallace,f
Fox News Sunday,6/24/12,Brit Hume,m
Fox News Sunday,6/24/12,Kirsten Powers,f
Fox News Sunday,6/24/12,T. Boone Pickens,m
Meet the Press,6/24/12,Andrea Mitchell,f
Meet the Press,6/24/12,Darrell Issa,m
Meet the Press,6/24/12,Jonathan Martin,m
Meet the Press,6/24/12,Bill Richardson,m
Meet the Press,6/24/12,Marco Rubio,m
State of the Union,6/24/12,Luis V. Gutierrez,m
State of the Union,6/24/12,Carlos Gutierrez,m
State of the Union,6/24/12,Ed Gillespie,m
This Week,6/24/12,Peggy Noonan,f
This Week,6/24/12,Darrell Issa,m
This Week,6/24/12,Xavier Becerra,m
This Week,6/24/12,Major Garrett,m
This Week,6/24/12,George Will,m
This Week,6/24/12,Hilary Rosen,f
Face the Nation,7/1/12,Tom Coburn,m
Face the Nation,7/1/12,John Dickerson,m
Face the Nation,7/1/12,Jan Crawford,f
Face the Nation,7/1/12,Martin O'Malley,m
Face the Nation,7/1/12,John Harris,m
Face the Nation,7/1/12,Major Garrett,m
Face the Nation,7/1/12,Scott Walker,m
Face the Nation,7/1/12,Charles E. Schumer,m
Face the Nation,7/1/12,John A. Boehner,m
Fox News Sunday,7/1/12,Liz Marlantes,f
Fox News Sunday,7/1/12,Shannon Bream,f
Fox News Sunday,7/1/12,Mitch McConnell,m
Fox News Sunday,7/1/12,Brit Hume,m
Fox News Sunday,7/1/12,Jack Lew,m
Fox News Sunday,7/1/12,Charles Lane,m
Meet the Press,7/1/12,Eugene Robinson,m
Meet the Press,7/1/12,Savannah Guthrie,f
Meet the Press,7/1/12,Howard Dean,m
Meet the Press,7/1/12,Chuck Todd,m
Meet the Press,7/1/12,Nancy Pelosi,f
Meet the Press,7/1/12,Rich Lowry,m
Meet the Press,7/1/12,Bobby Jindal,m
State of the Union,7/1/12,Jennifer Granholm,f
State of the Union,7/1/12,Carly Fiorina,f
State of the Union,7/1/12,Jack Lew,m
State of the Union,7/1/12,John Hickenlooper,m
This Week,7/1/12,Terry Moran,m
This Week,7/1/12,Donna Brazile,f
This Week,7/1/12,Paul D. Ryan ,m
This Week,7/1/12,Keith Olbermann,m
This Week,7/1/12,Artur Davis,m
This Week,7/1/12,Jack Lew,m
This Week,7/1/12,George Will,m
This Week,7/1/12,Victoria Kennedy,f
Face the Nation,7/8/12,John Dickerson,m
Face the Nation,7/8/12,Jan Crawford,f
Face the Nation,7/8/12,Frank DeFord,m
Face the Nation,7/8/12,Jayson Stark,m
Face the Nation,7/8/12,Richard J. Durbin,m
Face the Nation,7/8/12,John McCain,m
Face the Nation,7/8/12,Doris Kearns Goodwin,f
Face the Nation,7/8/12,Harold Reynolds,m
Face the Nation,7/8/12,Norah O'Donnell,f
Face the Nation,7/8/12,Haley Barbour,m
Fox News Sunday,7/8/12,Chip Saltsman,m
Fox News Sunday,7/8/12,Tom Price,m
Fox News Sunday,7/8/12,Bill Kristol,m
Fox News Sunday,7/8/12,Xavier Becerra,m
Fox News Sunday,7/8/12,A.B. Stoddard,f
Fox News Sunday,7/8/12,Debbie Wasserman Schultz,f
Fox News Sunday,7/8/12,Reince Priebus,m
Fox News Sunday,7/8/12,Juan Williams,m
State of the Union,7/8/12,Mark Zandi,m
State of the Union,7/8/12,Robert Gibbs,m
State of the Union,7/8/12,Mitch McConnell,m
State of the Union,7/8/12,Douglas Holtz-Eakin,m
This Week,7/8/12,Martin O'Malley,m
This Week,7/8/12,Timothy Geithner,m
This Week,7/8/12,Gwen Ifill,f
This Week,7/8/12,George Will,m
This Week,7/8/12,E.J. Dionne,m
This Week,7/8/12,Steven Rattner,m
This Week,7/8/12,Bobby Jindal,m
This Week,7/8/12,Mort Zuckerman,m
Face the Nation,7/15/12,John Dickerson,m
Face the Nation,7/15/12,Michael Gerson,m
Face the Nation,7/15/12,Paul D. Ryan ,m
Face the Nation,7/15/12,John Fund,m
Face the Nation,7/15/12,Frank Rich,m
Face the Nation,7/15/12,Mark Zandi,m
Face the Nation,7/15/12,Kevin Madden,m
Face the Nation,7/15/12,Stephanie Cutter,f
Face the Nation,7/15/12,Robert Reich,m
Face the Nation,7/15/12,Norah O'Donnell,f
Face the Nation,7/15/12,Rana Foroohar,f
Fox News Sunday,7/15/12,Bill Kristol,m
Fox News Sunday,7/15/12,Fred Barnes,m
Fox News Sunday,7/15/12,Jeff Zeleny,m
Fox News Sunday,7/15/12,Rick Scott,m
Fox News Sunday,7/15/12,Terry Branstad,m
Fox News Sunday,7/15/12,Joe Trippi,m
Fox News Sunday,7/15/12,Karl Rove,m
Fox News Sunday,7/15/12,Juan Williams,m
Meet the Press,7/15/12,Bob Woodward,m
Meet the Press,7/15/12,Richard J. Durbin,m
Meet the Press,7/15/12,Hilary Rosen,f
Meet the Press,7/15/12,Jon Kyl,m
Meet the Press,7/15/12,Mike Murphy,m
Meet the Press,7/15/12,Bob Costas,m
Meet the Press,7/15/12,Ed Gillespie,m
State of the Union,7/15/12,Tom Vilsack,m
State of the Union,7/15/12,Deval Patrick,m
State of the Union,7/15/12,Robert F. McDonnell,m
State of the Union,7/15/12,Ed Gillespie,m
This Week,7/15/12,Kelly Ayotte,f
This Week,7/15/12,Donna Brazile,f
This Week,7/15/12,Mary Matalin,f
This Week,7/15/12,Rahm Emanuel ,m
This Week,7/15/12,George Will,m
This Week,7/15/12,Matthew Dowd,m
This Week,7/15/12,James Carville,m
Face the Nation,7/22/12,Neil Barofsky,m
Face the Nation,7/22/12,Michael Bloomberg,m
Face the Nation,7/22/12,Benjamin Netanyahu,m
Fox News Sunday,7/22/12,Bill Kristol,m
Fox News Sunday,7/22/12,Elizabeth (Liz) Cheney,f
Fox News Sunday,7/22/12,Dianne Feinstein,f
Fox News Sunday,7/22/12,Evan Bayh,m
Fox News Sunday,7/22/12,Kirsten Powers,f
Fox News Sunday,7/22/12,Benjamin Netanyahu,m
Fox News Sunday,7/22/12,Mike D. Rogers,m
Meet the Press,7/22/12,Michelle Rhee,f
Meet the Press,7/22/12,Steve Schmidt,m
Meet the Press,7/22/12,David Brooks,m
Meet the Press,7/22/12,Bob Shrum,m
State of the Union,7/22/12,John McCain,m
State of the Union,7/22/12,George F. Allen,m
State of the Union,7/22/12,Tim Kaine,m
Face the Nation,7/29/12,Jan Crawford,f
Face the Nation,7/29/12,Sandra Day O'Connor,f
Face the Nation,7/29/12,Sara Ganim,f
Face the Nation,7/29/12,Debbie Wasserman Schultz,f
Face the Nation,7/29/12,Jim Rome,m
Face the Nation,7/29/12,Rodney Erickson,m
Face the Nation,7/29/12,Buzz Bissinger,m
Face the Nation,7/29/12,Bill Rhoden,m
Face the Nation,7/29/12,James Brown,m
Fox News Sunday,7/29/12,Chip Saltsman,m
Fox News Sunday,7/29/12,Liz Marlantes,f
Fox News Sunday,7/29/12,Antonin Scalia,m
Fox News Sunday,7/29/12,Kimberley Strassel,f
