show,date,name,gender
This Week,3/8/09,Claire McCaskill,f
Face the Nation,3/15/09,Thomas Friedman,m
Face the Nation,3/15/09,Larry Summers,m
Fox News Sunday,3/15/09,Mark Zandi,m
Fox News Sunday,3/15/09,Bill Kristol,m
Fox News Sunday,3/15/09,Sheila Bair,f
Fox News Sunday,3/15/09,Mara Liasson,f
Fox News Sunday,3/15/09,Brit Hume,m
Fox News Sunday,3/15/09,Barney Frank,m
Fox News Sunday,3/15/09,Austan Goolsbee,m
Fox News Sunday,3/15/09,Bob Corker,m
Fox News Sunday,3/15/09,Juan Williams,m
Meet the Press,3/15/09,Tavis Smiley,m
Meet the Press,3/15/09,David Frum,m
Meet the Press,3/15/09,Katty Kay,f
Meet the Press,3/15/09,Christina Romer,f
Meet the Press,3/15/09,Eric Cantor ,m
Meet the Press,3/15/09,Steve Leisman,m
State of the Union,3/15/09,Joe Sestak,m
State of the Union,3/15/09,Dick Cheney,m
This Week,3/15/09,Frank Rich,m
This Week,3/15/09,Mitch McConnell,m
This Week,3/15/09,Robert Kuttner,m
This Week,3/15/09,George Will,m
This Week,3/15/09,James Ellis,m
Face the Nation,3/22/09,John Dickerson,m
Face the Nation,3/22/09,Charles E. Grassley,m
Face the Nation,3/22/09,Barney Frank,m
Face the Nation,3/22/09,Austan Goolsbee,m
Face the Nation,3/22/09,Jackie Calmes,f
Fox News Sunday,3/22/09,Christina Romer,f
Fox News Sunday,3/22/09,Charles B. Rangel,m
Fox News Sunday,3/22/09,Bill Kristol,m
Fox News Sunday,3/22/09,Mara Liasson,f
Fox News Sunday,3/22/09,Brit Hume,m
Fox News Sunday,3/22/09,Richard C. Shelby,m
Fox News Sunday,3/22/09,Juan Williams,m
Meet the Press,3/22/09,Edward G. Rendell,m
Meet the Press,3/22/09,Arnold Schwarzenegger,m
Meet the Press,3/22/09,Michael Bloomberg,m
Meet the Press,3/22/09,Tom Brokaw,m
Meet the Press,3/22/09,Erin Burnett,f
State of the Union,3/22/09,Jennifer Granholm,f
State of the Union,3/22/09,Christina Romer,f
State of the Union,3/22/09,Judd Gregg,m
This Week,3/22/09,Jared Bernstein,m
This Week,3/22/09,Kent Conrad,m
This Week,3/22/09,Donna Brazile,f
This Week,3/22/09,Robert Reich,m
This Week,3/22/09,Susan Collins,f
This Week,3/22/09,George Will,m
This Week,3/22/09,Mike Pence,m
This Week,3/22/09,Betsy Stark,f
Face the Nation,3/29/09,Barack Obama,m
Fox News Sunday,3/29/09,Bill Kristol,m
Fox News Sunday,3/29/09,Nina Easton,f
Fox News Sunday,3/29/09,Stephen Harper,m
Fox News Sunday,3/29/09,Bill Sammon,m
Fox News Sunday,3/29/09,Robert M. Gates,m
Fox News Sunday,3/29/09,Juan Williams,m
Meet the Press,3/29/09,John McCain,m
Meet the Press,3/29/09,Timothy Geithner,m
State of the Union,3/29/09,John M. Spratt Jr.,m
State of the Union,3/29/09,Kent Conrad,m
State of the Union,3/29/09,Mitch McConnell,m
State of the Union,3/29/09,David Petraeus,m
State of the Union,3/29/09,Richard Holbrooke,m
This Week,3/29/09,Timothy Geithner,m
This Week,3/29/09,Matthew Dowd,m
This Week,3/29/09,George Will,m
This Week,3/29/09,Cokie Roberts,f
This Week,3/29/09,Paul Krugman,m
Face the Nation,4/5/09,Perry Bacon,m
Face the Nation,4/5/09,Timothy Geithner,m
Face the Nation,4/5/09,Lara Logan,f
Fox News Sunday,4/5/09,Richard Lowry,m
Fox News Sunday,4/5/09,Bill Kristol,m
Fox News Sunday,4/5/09,Mara Liasson,f
Fox News Sunday,4/5/09,David Axelrod,m
Fox News Sunday,4/5/09,Jim VandeHei,m
Fox News Sunday,4/5/09,Newt Gingrich,m
Fox News Sunday,4/5/09,Mark Sanford,m
Meet the Press,4/5/09,Katty Kay,f
Meet the Press,4/5/09,Rick Wagoner,m
Meet the Press,4/5/09,Michael Gerson,m
Meet the Press,4/5/09,John Harwood,m
Meet the Press,4/5/09,Joshua Cooper Ramo,m
Meet the Press,4/5/09,Bill Rodgers,m
State of the Union,4/5/09,Fritz Henderson,m
State of the Union,4/5/09,Debbie Stabenow,f
State of the Union,4/5/09,Jack Reed,m
State of the Union,4/5/09,David Axelrod,m
State of the Union,4/5/09,Jack Welch,m
State of the Union,4/5/09,Bob Corker,m
This Week,4/5/09,David Frum,m
This Week,4/5/09,Martha Raddatz,f
This Week,4/5/09,Arianna Huffington,f
This Week,4/5/09,George Will,m
This Week,4/5/09,Susan Rice,f
This Week,4/5/09,Richard Haass,m
Face the Nation,4/12/09,Arturo Sarakhan,m
Face the Nation,4/12/09,Rajiv Chandrasekaran,m
Face the Nation,4/12/09,David Sanger,m
Face the Nation,4/12/09,Kathleen Parker,f
Fox News Sunday,4/12/09,Tom Coburn,m
Fox News Sunday,4/12/09,Liz Claman,f
Fox News Sunday,4/12/09,Bill Kristol,m
Fox News Sunday,4/12/09,Jenna Lee,f
Fox News Sunday,4/12/09,Mara Liasson,f
Fox News Sunday,4/12/09,Brit Hume,m
Fox News Sunday,4/12/09,Evan Bayh,m
Fox News Sunday,4/12/09,Juan Williams,m
Meet the Press,4/12/09,Jeffrey Goldberg,m
Meet the Press,4/12/09,Adam Davidson,m
Meet the Press,4/12/09,Alex Blumberg,m
Meet the Press,4/12/09,Robin Wright,f
Meet the Press,4/12/09,Jim Miklaszewski,m
Meet the Press,4/12/09,Michele Norris,f
Meet the Press,4/12/09,Tom Wilkerson,m
Meet the Press,4/12/09,Byron York,m
This Week,4/12/09,Thad Allen,m
This Week,4/12/09,George Will,m
This Week,4/12/09,Newt Gingrich,m
This Week,4/12/09,Jake Tapper,m
This Week,4/12/09,Paul Krugman,m
This Week,4/12/09,Ruth Marcus,f
Face the Nation,4/19/09,Edward G. Rendell,m
Face the Nation,4/19/09,David Axelrod,m
Face the Nation,4/19/09,Wayne LaPierre,m
Fox News Sunday,4/19/09,Michael Hayden,m
Fox News Sunday,4/19/09,Bill Kristol,m
Fox News Sunday,4/19/09,Mara Liasson,f
Fox News Sunday,4/19/09,Brit Hume,m
Fox News Sunday,4/19/09,Lindsey Graham,m
Fox News Sunday,4/19/09,Claire McCaskill,f
Fox News Sunday,4/19/09,Juan Williams,m
Meet the Press,4/19/09,Harold E. Ford Jr.,m
